#                x                 v
  0.0000000000e+00  0.0000000000e+00
  1.0000000000e-02  1.7785966926e-01
  2.0000000000e-02  2.5274112970e-01
  3.0000000000e-02  3.1943528262e-01
  4.0000000000e-02  3.7872125333e-01
  5.0000000000e-02  4.3130402358e-01
  6.0000000000e-02  4.7782148723e-01
  7.0000000000e-02  5.1885083452e-01
  8.0000000000e-02  5.5491432877e-01
  9.0000000000e-02  5.8648453339e-01
  1.0000000000e-01  6.1398904140e-01
  1.1000000000e-01  6.3781475500e-01
  1.2000000000e-01  6.5831175777e-01
  1.3000000000e-01  6.7579681842e-01
  1.4000000000e-01  6.9055656113e-01
  1.5000000000e-01  7.0285033421e-01
  1.6000000000e-01  7.1291280569e-01
  1.7000000000e-01  7.2095631198e-01
  1.8000000000e-01  7.2717298304e-01
  1.9000000000e-01  7.3173666521e-01
  2.0000000000e-01  7.3480466119e-01
  2.1000000000e-01  7.3651930434e-01
  2.2000000000e-01  7.3700938320e-01
  2.3000000000e-01  7.3639143049e-01
  2.4000000000e-01  7.3477088933e-01
  2.5000000000e-01  7.3224316864e-01
  2.6000000000e-01  7.2889459797e-01
  2.7000000000e-01  7.2480329151e-01
  2.8000000000e-01  7.2003992993e-01
  2.9000000000e-01  7.1466846772e-01
  3.0000000000e-01  7.0874677331e-01
  3.1000000000e-01  7.0232720821e-01
  3.2000000000e-01  6.9545715110e-01
  3.3000000000e-01  6.8817947194e-01
  3.4000000000e-01  6.8053296111e-01
  3.5000000000e-01  6.7255271757e-01
  3.6000000000e-01  6.6427050021e-01
  3.7000000000e-01  6.5571504562e-01
  3.8000000000e-01  6.4691235576e-01
  3.9000000000e-01  6.3788595819e-01
  4.0000000000e-01  6.2865714150e-01
  4.1000000000e-01  6.1924516842e-01
  4.2000000000e-01  6.0966746859e-01
  4.3000000000e-01  5.9993981299e-01
  4.4000000000e-01  5.9007647181e-01
  4.5000000000e-01  5.8009035722e-01
  4.6000000000e-01  5.6999315266e-01
  4.7000000000e-01  5.5979542975e-01
  4.8000000000e-01  5.4950675407e-01
  4.9000000000e-01  5.3913578092e-01
  5.0000000000e-01  5.2869034193e-01
  5.1000000000e-01  5.1817752348e-01
  5.2000000000e-01  5.0760373756e-01
  5.3000000000e-01  4.9697478600e-01
  5.4000000000e-01  4.8629591850e-01
  5.5000000000e-01  4.7557188519e-01
  5.6000000000e-01  4.6480698416e-01
  5.7000000000e-01  4.5400510450e-01
  5.8000000000e-01  4.4316976518e-01
  5.9000000000e-01  4.3230415031e-01
  6.0000000000e-01  4.2141114100e-01
  6.1000000000e-01  4.1049334416e-01
  6.2000000000e-01  3.9955311865e-01
  6.3000000000e-01  3.8859259883e-01
  6.4000000000e-01  3.7761371597e-01
  6.5000000000e-01  3.6661821753e-01
  6.6000000000e-01  3.5560768470e-01
  6.7000000000e-01  3.4458354818e-01
  6.8000000000e-01  3.3354710255e-01
  6.9000000000e-01  3.2249951917e-01
  7.0000000000e-01  3.1144185794e-01
  7.1000000000e-01  3.0037507788e-01
  7.2000000000e-01  2.8930004677e-01
  7.3000000000e-01  2.7821754981e-01
  7.4000000000e-01  2.6712829746e-01
  7.5000000000e-01  2.5603293258e-01
  7.6000000000e-01  2.4493203686e-01
  7.7000000000e-01  2.3382613662e-01
  7.8000000000e-01  2.2271570811e-01
  7.9000000000e-01  2.1160118226e-01
  8.0000000000e-01  2.0048294896e-01
  8.1000000000e-01  1.8936136104e-01
  8.2000000000e-01  1.7823673773e-01
  8.3000000000e-01  1.6710936788e-01
  8.4000000000e-01  1.5597951287e-01
  8.5000000000e-01  1.4484740918e-01
  8.6000000000e-01  1.3371327081e-01
  8.7000000000e-01  1.2257729138e-01
  8.8000000000e-01  1.1143964609e-01
  8.9000000000e-01  1.0030049347e-01
  9.0000000000e-01  8.9159976961e-02
  9.1000000000e-01  7.8018226354e-02
  9.2000000000e-01  6.6875359090e-02
  9.3000000000e-01  5.5731481431e-02
  9.4000000000e-01  4.4586689530e-02
  9.5000000000e-01  3.3441070389e-02
  9.6000000000e-01  2.2294702729e-02
  9.7000000000e-01  1.1147657782e-02
  1.0000000000e+00  0.0000000000e+00
